sku,name,oe_number,category,your_cost,your_price,stock_count,in_stock,market_reference,reference_note
AUD-420698451D,Brake Pad Set – 420 698 451 D,420 698 451 D,brake-pads,,,,,,
AUD-1J0615301M,Front Brake Disc – 1J0 615 301 M,1J0 615 301 M,brake-rotors,,,,,,
AUD-1J0615301P,Front Brake Disc – 1J0 615 301 P,1J0 615 301 P,brake-rotors,,,,,,
AUD-1K0615301AR,Front Brake Disc – 1K0 615 301 AR,1K0 615 301 AR,brake-rotors,,,,,,
AUD-2Q0615601H,Rear Brake Disc – 2Q0 615 601 H,2Q0 615 601 H,brake-rotors,,,,,,
AUD-4E0615601L,Rear Brake Disc – 4E0 615 601 L,4E0 615 601 L,brake-rotors,,,,,,
AUD-4F0615301E,Front Brake Disc – 4F0 615 301 E,4F0 615 301 E,brake-rotors,,,,,,
AUD-4G8615601E,Rear Brake Disc – 4G8 615 601 E,4G8 615 601 E,brake-rotors,,,,,,
AUD-4K0615301AE,Front Brake Disc – 4K0 615 301 AE,4K0 615 301 AE,brake-rotors,,,,,,
AUD-4M0615301AP,Front Brake Disc – 4M0 615 301 AP,4M0 615 301 AP,brake-rotors,,,,,$246-470 genuine (Audi USA) / $155-321 aftermarket,Revision matters: AS listed $453-470 vs AN $246 - nearly 2x across adjacent indices.
AUD-6R0615301D,Front Brake Disc – 6R0 615 301 D,6R0 615 301 D,brake-rotors,,,,,,
AUD-7B0615301B,Front Brake Disc – 7B0 615 301 B,7B0 615 301 B,brake-rotors,,,,,,
AUD-80A615601C,Rear Brake Disc – 80A 615 601 C,80A 615 601 C,brake-rotors,,,,,,
AUD-8E0615601M,Rear Brake Disc – 8E0 615 601 M,8E0 615 601 M,brake-rotors,,,,,,
AUD-8MA615301,Front Brake Disc – 8MA 615 301,8MA 615 301,brake-rotors,,,,,,
AUD-8MA615301A,Front Brake Disc – 8MA 615 301 A,8MA 615 301 A,brake-rotors,,,,,,
AUD-8MA615302,Front Brake Disc – 8MA 615 302,8MA 615 302,brake-rotors,,,,,,
AUD-8MA615302A,Front Brake Disc – 8MA 615 302 A,8MA 615 302 A,brake-rotors,,,,,,
AUD-8MA615601,Rear Brake Disc – 8MA 615 601,8MA 615 601,brake-rotors,,,,,,
AUD-8R0615301G,Front Brake Disc – 8R0 615 301 G,8R0 615 301 G,brake-rotors,,,,,,
AUD-8V0615301R,Front Brake Disc – 8V0 615 301 R,8V0 615 301 R,brake-rotors,,,,,$500-1480 genuine / ~$150 aftermarket,CAUTION: 8V0615301R listings are RS3 370x34mm - NOT a standard A3 disc. Verify before pricing.
AUD-95C615601,Rear Brake Disc – 95C 615 601,95C 615 601,brake-rotors,,,,,,
AUD-9J1615301A,Front Brake Disc – 9J1 615 301 A,9J1 615 301 A,brake-rotors,,,,,,
AUD-9J1615302D,Front Brake Disc – 9J1 615 302 D,9J1 615 302 D,brake-rotors,,,,,,
AUD-9J1615601,Rear Brake Disc – 9J1 615 601,9J1 615 601,brake-rotors,,,,,,
AUD-04E109119F,Timing Belt – 04E 109 119 F,04E 109 119 F,timing,,,,,,
AUD-059109119F,Timing Belt – 059 109 119 F,059 109 119 F,timing,,,,,,
AUD-059109229K,Timing Chain – 059 109 229 K,059 109 229 K,timing,,,,,,
AUD-059109229AA,Timing Chain – 059 109 229 AA,059 109 229 AA,timing,,,,,,
AUD-059109229M,Timing Chain – 059 109 229 M,059 109 229 M,timing,,,,,,
AUD-06B109119A,Timing Belt – 06B 109 119 A,06B 109 119 A,timing,,,,,,
AUD-06D109119B,Timing Belt – 06D 109 119 B,06D 109 119 B,timing,,,,,,
AUD-06E109465BL,Timing Chain – 06E 109 465 BL,06E 109 465 BL,timing,,,,,$208-356 genuine per chain,Complete kits list $1284-1793. Do not price a single chain off a kit listing.
AUD-06E109465BD,Timing Chain – 06E 109 465 BD,06E 109 465 BD,timing,,,,,$208-356 genuine per chain,Complete kits list $1284-1793. Do not price a single chain off a kit listing.
AUD-06E109465AQ,Timing Chain – 06E 109 465 AQ,06E 109 465 AQ,timing,,,,,$208-356 genuine per chain,Complete kits list $1284-1793. Do not price a single chain off a kit listing.
AUD-06E109465BB,Timing Chain – 06E 109 465 BB,06E 109 465 BB,timing,,,,,$208-356 genuine per chain,Complete kits list $1284-1793. Do not price a single chain off a kit listing.
AUD-06K109158BG,Camshaft Adjuster / Chain Tensioner – 06K 109 158 BG,06K 109 158 BG,timing,,,,,no exact match found,Related camshaft adjusters listed $586-1364 - too wide to use. Get supplier cost.
AUD-06K109158BP,Camshaft Adjuster / Chain Tensioner – 06K 109 158 BP,06K 109 158 BP,timing,,,,,no exact match found,Related camshaft adjusters listed $586-1364 - too wide to use. Get supplier cost.
AUD-06K109158BJ,Camshaft Adjuster / Chain Tensioner – 06K 109 158 BJ,06K 109 158 BJ,timing,,,,,no exact match found,Related camshaft adjusters listed $586-1364 - too wide to use. Get supplier cost.
AUD-06M109229AC,Timing Chain – 06M 109 229 AC,06M 109 229 AC,timing,,,,,,
AUD-06Q109158,Camshaft Adjuster / Chain Tensioner – 06Q 109 158,06Q 109 158,timing,,,,,,
AUD-078109119J,Timing Belt – 078 109 119 J,078 109 119 J,timing,,,,,~$55 belt only (Continental),Exact match found for 078109119J. Kit listings run far higher.
AUD-07K109158F,Camshaft Adjuster / Chain Tensioner – 07K 109 158 F,07K 109 158 F,timing,,,,,,
AUD-07K109231A,Timing Chain Tensioning Rail – 07K 109 231 A,07K 109 231 A,timing,,,,,,
AUD-07K109231C,Timing Chain Tensioning Rail – 07K 109 231 C,07K 109 231 C,timing,,,,,,
AUD-0P2109229F,Timing Chain – 0P2 109 229 F,0P2 109 229 F,timing,,,,,,
AUD-0P2109229L,Timing Chain – 0P2 109 229 L,0P2 109 229 L,timing,,,,,,
AUD-0P2109450J,Camshaft Adjuster (VVT) – 0P2 109 450 J,0P2 109 450 J,timing,,,,,,
